,site_ID,model,mean_r2_train,2019_test_r2,2020_test_r2,2021_test_r2,2022_test_r2,2023_test_r2,2024_test_r2,IGBP description,koppen,koppen description,koppen_main_name,Latitude,Longitude,Elevation,train_r2_diff,test_r2_diff
4,US-xDS,MLP,76.00%,70.00%,72.00%,70.00%,73.00%,68.00%,81.00%,"Cropland/Natural Vegetation Mosaics: Lands with a mosaic of croplands, forest, shrublands, and grasslands in which no one component comprises more than 60% of the landscape",Cfa,"Humid Subtropical: mild with no dry season, hot summer",Temperate,28.125,-81.4362,15,4.71%,5.07%
25,US-xDS,KAN,71.29%,62.33%,70.34%,59.90%,64.14%,60.83%,86.03%,"Cropland/Natural Vegetation Mosaics: Lands with a mosaic of croplands, forest, shrublands, and grasslands in which no one component comprises more than 60% of the landscape",Cfa,"Humid Subtropical: mild with no dry season, hot summer",Temperate,28.125,-81.4362,15,,
13,US-xSL,MLP,82.00%,84.00%,80.00%,,74.00%,67.00%,78.00%,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Bsk,Steppe: warm winter,Arid,40.4619,-103.0293,1364,5.84%,7.22%
34,US-xSL,KAN,76.16%,74.69%,70.86%,,69.33%,66.09%,65.94%,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Bsk,Steppe: warm winter,Arid,40.4619,-103.0293,1364,,
0,US-xBR,MLP,78.00%,76.00%,83.00%,58.00%,76.00%,75.00%,78.00%,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,44.0639,-71.2873,232,1.48%,1.31%
21,US-xBR,KAN,76.52%,79.37%,81.90%,58.97%,70.88%,73.44%,73.57%,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,44.0639,-71.2873,232,,
5,US-xHA,MLP,81.00%,80.00%,77.00%,75.00%,78.00%,87.00%,82.00%,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,42.5369,-72.1727,351,2.10%,4.90%
26,US-xHA,KAN,78.90%,75.68%,73.48%,69.37%,65.28%,85.55%,80.25%,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,42.5369,-72.1727,351,,
7,US-xML,MLP,85.00%,72.00%,67.00%,14.00%,82.00%,86.00%,81.00%,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,37.3783,-80.5248,1126,8.66%,10.87%
28,US-xML,KAN,76.34%,58.06%,57.92%,0.00%,79.43%,77.83%,63.55%,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,37.3783,-80.5248,1126,,
11,US-xSC,MLP,73.00%,,22.00%,39.00%,58.00%,75.00%,76.00%,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",Cold,38.8929,-78.1395,361,1.77%,-2.61%
32,US-xSC,KAN,71.23%,,30.25%,42.52%,58.81%,75.58%,75.87%,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",Cold,38.8929,-78.1395,361,,
12,US-xSE,MLP,83.00%,31.00%,42.00%,72.00%,85.00%,87.00%,66.00%,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",Temperate,38.8901,-76.56,15,5.12%,8.82%
33,US-xSE,KAN,77.88%,32.46%,8.41%,74.78%,83.28%,75.34%,55.80%,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",Temperate,38.8901,-76.56,15,,
14,US-xST,MLP,93.00%,93.00%,92.00%,88.00%,94.00%,90.00%,91.00%,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,45.5089,-89.5864,481,2.21%,2.57%
35,US-xST,KAN,90.79%,92.04%,89.54%,85.32%,90.91%,87.44%,87.34%,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,45.5089,-89.5864,481,,
16,US-xTR,MLP,80.00%,41.00%,74.00%,76.00%,89.00%,78.00%,1.00%,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,45.4937,-89.5857,472,2.47%,-2.18%
37,US-xTR,KAN,77.53%,56.31%,77.65%,73.71%,87.25%,72.59%,4.59%,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,45.4937,-89.5857,472,,
17,US-xUK,MLP,92.00%,,89.00%,88.00%,93.00%,92.00%,91.00%,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",Cold,39.0404,-95.1921,335,4.34%,6.12%
38,US-xUK,KAN,87.66%,,75.56%,84.09%,87.06%,88.71%,86.97%,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",Cold,39.0404,-95.1921,335,,
2,US-xDJ,MLP,90.00%,26.00%,74.00%,91.00%,91.00%,92.00%,78.00%,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",Cold,63.8811,-145.7514,529,10.39%,20.25%
23,US-xDJ,KAN,79.61%,0.00%,67.23%,77.67%,89.11%,77.70%,18.76%,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",Cold,63.8811,-145.7514,529,,
9,US-xRM,MLP,90.00%,85.00%,83.00%,86.00%,92.00%,84.00%,86.00%,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",Cold,40.2759,-105.5459,2743,6.05%,6.11%
30,US-xRM,KAN,83.95%,81.57%,71.82%,82.33%,80.37%,80.05%,83.18%,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",Cold,40.2759,-105.5459,2743,,
10,US-xSB,MLP,88.00%,50.00%,81.00%,85.00%,78.00%,84.00%,91.00%,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",Temperate,29.6893,-81.9934,45,2.34%,2.66%
31,US-xSB,KAN,85.66%,33.30%,84.70%,84.78%,76.08%,82.10%,92.06%,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",Temperate,29.6893,-81.9934,45,,
20,US-xWR,MLP,71.00%,66.00%,75.00%,55.00%,54.00%,65.00%,72.00%,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csb,"Mediterranean: mild with dry, warm summer",Cold,45.8205,-121.9519,407,3.68%,2.56%
41,US-xWR,KAN,67.32%,64.63%,68.14%,59.14%,45.17%,61.99%,72.59%,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csb,"Mediterranean: mild with dry, warm summer",Cold,45.8205,-121.9519,407,,
1,US-xDC,MLP,86.00%,87.00%,85.00%,0.00%,84.00%,85.00%,86.00%,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,47.1617,-99.1066,559,2.66%,0.63%
22,US-xDC,KAN,83.34%,90.03%,84.96%,0.00%,82.36%,84.37%,81.48%,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,47.1617,-99.1066,559,,
6,US-xKZ,MLP,90.00%,86.00%,93.00%,85.00%,88.00%,85.00%,91.00%,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",Cold,39.1008,-96.5631,381,4.73%,4.75%
27,US-xKZ,KAN,85.27%,84.49%,89.50%,79.95%,79.82%,79.20%,86.52%,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",Cold,39.1008,-96.5631,381,,
8,US-xNG,MLP,87.00%,91.00%,-38.00%,,88.00%,92.00%,91.00%,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,46.7697,-100.9154,578,2.09%,-5.50%
29,US-xNG,KAN,84.91%,89.06%,4.72%,,81.51%,87.80%,88.39%,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,46.7697,-100.9154,578,,
19,US-xWD,MLP,79.00%,79.00%,70.00%,,74.00%,75.00%,88.00%,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,47.1282,-99.2414,579,1.43%,2.92%
40,US-xWD,KAN,77.57%,68.14%,81.04%,,78.32%,67.94%,75.94%,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,47.1282,-99.2414,579,,
3,US-xDL,MLP,86.00%,43.00%,69.00%,88.00%,85.00%,82.00%,80.00%,Mixed Forests: Lands dominated by trees with a percent cover >60% and height exceeding 2 meters.  Consists of tree communities with interspersed mixtures or mosaics of the other four forest types.  None of the forest types exceeds 60% of landscape.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",Temperate,32.5417,-87.8039,22,2.45%,6.26%
24,US-xDL,KAN,83.55%,31.64%,72.50%,79.06%,81.35%,75.37%,69.50%,Mixed Forests: Lands dominated by trees with a percent cover >60% and height exceeding 2 meters.  Consists of tree communities with interspersed mixtures or mosaics of the other four forest types.  None of the forest types exceeds 60% of landscape.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",Temperate,32.5417,-87.8039,22,,
18,US-xUN,MLP,91.00%,93.00%,93.00%,86.00%,88.00%,89.00%,83.00%,Mixed Forests: Lands dominated by trees with a percent cover >60% and height exceeding 2 meters.  Consists of tree communities with interspersed mixtures or mosaics of the other four forest types.  None of the forest types exceeds 60% of landscape.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,46.2339,-89.5373,518,1.95%,0.15%
39,US-xUN,KAN,89.05%,93.34%,92.62%,85.75%,87.55%,89.38%,82.46%,Mixed Forests: Lands dominated by trees with a percent cover >60% and height exceeding 2 meters.  Consists of tree communities with interspersed mixtures or mosaics of the other four forest types.  None of the forest types exceeds 60% of landscape.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,Cold,46.2339,-89.5373,518,,
15,US-xTL,MLP,73.00%,73.00%,,80.00%,28.00%,56.00%,79.00%,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",ET,Tundra,Cold,68.6611,-149.3705,843,7.78%,10.23%
36,US-xTL,KAN,65.22%,56.17%,,77.14%,10.60%,49.66%,71.29%,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",ET,Tundra,Cold,68.6611,-149.3705,843,,
